DATE,Portófio Value USD,Portófio Value EUR,Crypto Cap,Taxed,Median Tax Amount,A+Use,A-Use,B+Use,B-Use,Change USD 24h,Change EUR 24h,Change USD 7D,Change EUR 7D,Profit / Loss (€),Profit / Loss (%)
21-11-2022,436.7,397.0,922.61,950.196,936.403,922.61,807.61,1065.196,950.196,0.0,-20.0,0.0,0.0,-539.403,-57.6
22-11-2022,454.3,413.0,934.61,965.236,949.923,1055.61,813.61,1086.236,844.236,17.6,16.0,0.0,0.0,-536.923,-56.5
23-11-2022,458.7,417.0,949.61,980.396,965.003,1070.61,828.61,1101.396,859.396,4.4,4.0,0.0,0.0,-548.003,-56.8
24-11-2022,458.7,417.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,0.0,0.0,0.0,0.0,-548.0,-56.8
25-11-2022,455.4,414.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,-3.3,-3.0,3.74,-0.6,-551.0,-57.1
26-11-2022,458.7,417.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,3.3,3.0,3.667,0.0,-548.0,-56.8
27-11-2022,463.1,421.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,4.4,4.0,3.771,0.571,-544.0,-56.4
28-11-2022,444.4,404.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,-18.7,-17.0,1.1,1.0,-561.0,-58.1
29-11-2022,458.7,417.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,14.3,13.0,0.629,0.571,-548.0,-56.8
30-11-2022,488.4,444.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,29.7,27.0,4.243,3.857,-521.0,-54.0
01-12-2022,470.8,428.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,-17.6,-16.0,1.729,1.571,-537.0,-55.6
02-12-2022,468.6,426.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,-2.2,-2.0,1.886,1.714,-539.0,-55.9
03-12-2022,463.1,421.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,-5.5,-5.0,0.629,0.571,-544.0,-56.4
04-12-2022,475.2,432.0,949.61,980.4,965.0,1070.61,828.61,1101.4,859.4,12.1,11.0,1.729,1.571,-533.0,-55.2
05-12-2022,456.5,415.0,949.61,980.396,965.003,1070.61,810.61,1119.396,859.396,-18.7,-17.0,1.729,1.571,-550.003,-57.0
06-12-2022,452.1,411.0,949.61,980.4,965.0,1091.71,810.61,1119.4,838.3,-4.4,-4.0,-0.943,-0.857,-554.0,-57.4
07-12-2022,442.2,402.0,949.61,980.4,965.0,1091.71,810.61,1119.4,838.3,-9.9,-9.0,-6.6,-6.0,-563.0,-58.3
08-12-2022,451.0,410.0,949.61,980.4,965.0,1091.71,810.61,1119.4,838.3,8.8,8.0,-2.829,-2.571,-555.0,-57.5
09-12-2022,445.5,405.0,949.61,980.4,965.0,1091.71,807.51,1122.5,838.3,-5.5,-5.0,-3.3,-3.0,-560.0,-58.0
10-12-2022,446.6,406.0,949.61,980.4,965.0,1091.71,807.51,1122.5,838.3,1.1,1.0,-2.357,-2.143,-559.0,-57.9
11-12-2022,443.3,403.0,949.61,980.4,965.0,1091.71,807.51,1122.5,838.3,-3.3,-3.0,-4.557,-4.143,-562.0,-58.2
12-12-2022,435.6,396.0,949.61,980.4,965.0,1091.71,807.51,1122.5,838.3,-7.7,-7.0,-2.986,-2.714,-569.0,-59.0
13-12-2022,454.3,413.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,18.7,17.0,0.314,0.286,-552.005,-57.2
14-12-2022,455.4,414.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,1.1,1.0,1.886,1.714,-551.005,-57.1
15-12-2022,437.8,398.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-17.6,-16.0,-1.886,-1.714,-567.005,-58.8
16-12-2022,418.0,380.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-19.8,-18.0,-3.929,-3.571,-585.005,-60.6
17-12-2022,408.1,371.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-9.9,-9.0,-5.5,-5.0,-594.005,-61.6
18-12-2022,414.7,377.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,6.6,6.0,-4.086,-3.714,-588.005,-60.9
19-12-2022,404.8,368.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-9.9,-9.0,-4.4,-4.0,-597.005,-61.9
20-12-2022,412.5,375.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,7.7,7.0,-5.971,-5.429,-590.005,-61.1
21-12-2022,431.2,392.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,18.7,17.0,-3.457,-3.143,-573.005,-59.4
22-12-2022,425.7,387.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-5.5,-5.0,-1.729,-1.571,-578.005,-59.9
23-12-2022,433.4,394.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,7.7,7.0,2.2,2.0,-571.005,-59.2
24-12-2022,429.0,390.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-4.4,-4.0,2.986,2.714,-575.005,-59.6
25-12-2022,426.8,388.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-2.2,-2.0,1.729,1.571,-577.005,-59.8
26-12-2022,435.6,396.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,8.8,8.0,4.4,4.0,-569.005,-59.0
27-12-2022,430.1,391.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-5.5,-5.0,2.514,2.286,-574.005,-59.5
28-12-2022,423.5,385.0,949.61,980.4,965.005,1091.71,807.51,1122.5,838.3,-6.6,-6.0,-1.1,-1.0,-580.005,-60.1
29-12-2022,453.266,412.06,978.43,1010.216,994.323,1151.97,809.45,1179.196,836.676,29.766,27.06,3.938,3.58,-582.263,-58.6
30-12-2022,426.8,388.0,978.43,1010.216,994.323,1151.97,809.45,1179.196,836.676,-26.466,-24.06,-0.943,-0.857,-606.323,-61.0
31-12-2022,458.854,417.14,1008.03,1040.836,1024.433,1181.57,834.49,1214.376,867.296,32.054,29.14,4.265,3.877,-607.293,-59.3
01-01-2023,455.466,414.06,1008.03,1040.836,1024.433,1181.57,834.49,1214.376,867.296,-3.388,-3.08,4.095,3.723,-610.373,-59.6
02-01-2023,467.423,424.93,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,11.957,10.87,4.546,4.133,-599.5,-58.5
03-01-2023,471.9,429.0,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,4.477,4.07,5.971,5.429,-595.43,-58.1
04-01-2023,477.312,433.92,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,5.412,4.92,7.687,6.989,-590.51,-57.6
05-01-2023,478.863,435.33,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,1.551,1.41,3.657,3.324,-589.1,-57.5
06-01-2023,475.75,432.5,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,-3.113,-2.83,6.993,6.357,-591.93,-57.8
07-01-2023,478.94,435.4,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,3.19,2.9,2.869,2.609,-589.03,-57.5
08-01-2023,477.961,434.51,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,-0.979,-0.89,3.214,2.921,-589.92,-57.6
09-01-2023,496.65,451.5,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,18.689,16.99,4.175,3.796,-572.93,-55.9
10-01-2023,493.988,449.08,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,-2.662,-2.42,3.155,2.869,-575.35,-56.2
11-01-2023,496.276,451.16,1008.03,1040.84,1024.43,1181.57,834.49,1214.38,867.3,2.288,2.08,2.709,2.463,-573.27,-56.0
12-01-2023,525.47,477.7,1080.05,1115.836,1097.943,1382.76,906.51,1289.376,813.126,29.194,26.54,6.658,6.053,-620.243,-56.5
13-01-2023,463.1,421.0,1080.05,1115.836,1097.943,1382.76,777.34,1418.546,813.126,-62.37,-56.7,-1.807,-1.643,-676.943,-61.7
14-01-2023,498.542,453.22,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,35.442,32.22,2.8,2.546,-644.72,-58.7
15-01-2023,499.4,454.0,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,0.858,0.78,3.063,2.784,-643.94,-58.6
16-01-2023,501.6,456.0,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,2.2,2.0,0.707,0.643,-641.94,-58.5
17-01-2023,504.174,458.34,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,2.574,2.34,1.455,1.323,-639.6,-58.3
18-01-2023,485.1,441.0,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,-19.074,-17.34,-1.597,-1.451,-656.94,-59.8
19-01-2023,495.0,450.0,1080.05,1115.84,1097.94,1382.76,777.34,1418.55,813.13,9.9,9.0,-4.353,-3.957,-647.94,-59.0
20-01-2023,547.767,497.97,1102.28,1141.836,1122.058,1548.99,799.57,1444.546,695.126,52.767,47.97,12.095,10.996,-624.088,-55.6
21-01-2023,550.0,500.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,2.233,2.03,7.351,6.683,-622.06,-55.4
22-01-2023,552.2,502.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,2.2,2.0,7.543,6.857,-620.06,-55.3
23-01-2023,544.5,495.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,-7.7,-7.0,6.129,5.571,-627.06,-55.9
24-01-2023,546.7,497.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,2.2,2.0,6.075,5.523,-625.06,-55.7
25-01-2023,551.1,501.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,4.4,4.0,9.429,8.571,-621.06,-55.3
26-01-2023,553.3,503.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,2.2,2.0,8.329,7.571,-619.06,-55.2
27-01-2023,561.0,510.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,7.7,7.0,1.89,1.719,-612.06,-54.5
28-01-2023,574.2,522.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,13.2,12.0,3.457,3.143,-600.06,-53.5
29-01-2023,583.0,530.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,8.8,8.0,4.4,4.0,-592.06,-52.8
30-01-2023,578.6,526.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,-4.4,-4.0,4.871,4.429,-596.06,-53.1
31-01-2023,650.1,591.0,1102.28,1141.84,1122.06,1548.99,799.57,1444.55,695.13,71.5,65.0,14.771,13.429,-531.06,-47.3
01-02-2023,539.781,490.71,1118.63,1161.84,1140.23,1565.34,671.92,1608.55,715.13,-110.319,-100.29,-1.617,-1.47,-649.52,-57.0
